卫视频道,#genre#
东南卫视,http://192.168.3.211:4022/rtp/238.1.78.62:6368
北京卫视,http://192.168.3.211:4022/rtp/238.1.78.63:6376
江苏卫视,http://192.168.3.211:4022/rtp/238.1.78.64:6384
浙江卫视,http://192.168.3.211:4022/rtp/238.1.78.65:6392
山东卫视,http://192.168.3.211:4022/rtp/238.1.78.66:6400
湖南卫视,http://192.168.3.211:4022/rtp/238.1.78.67:6408
广东卫视,http://192.168.3.211:4022/rtp/238.1.78.68:6416
河南卫视,http://192.168.3.211:4022/rtp/238.1.78.69:6424
四川卫视,http://192.168.3.211:4022/rtp/238.1.78.71:6440
重庆卫视,http://192.168.3.211:4022/rtp/238.1.78.72:6448
江西卫视,http://192.168.3.211:4022/rtp/238.1.78.86:6560
河北卫视,http://192.168.3.211:4022/rtp/238.1.78.87:6568
贵州卫视,http://192.168.3.211:4022/rtp/238.1.78.90:6592
天津卫视,http://192.168.3.211:4022/rtp/238.1.78.91:6600
辽宁卫视,http://192.168.3.211:4022/rtp/238.1.78.92:6608
吉林卫视,http://192.168.3.211:4022/rtp/238.1.78.93:6616
湖北卫视,http://192.168.3.211:4022/rtp/238.1.78.94:6624
甘肃卫视,http://192.168.3.211:4022/rtp/238.1.78.108:6736
黑龙江卫视,http://192.168.3.211:4022/rtp/238.1.78.98:6656
深圳卫视,http://192.168.3.211:4022/rtp/238.1.78.99:6664

安徽频道,#genre#
合肥新闻,http//192.168.3.211:4022/rtp/238.1.78.111:6760
芜湖生活,http://192.168.3.211:4022/rtp/238.1.78.152:7088
芜湖教育,http://192.168.3.211:4022/rtp/238.1.78.167:7208
长丰电视台,http://192.168.3.211:4022/rtp/238.1.78.182:7328
肥东新闻,http://192.168.3.211:4022/rtp/238.1.78.183:7336
肥东生活,http://192.168.3.211:4022/rtp/238.1.78.184:7344
肥西新闻,http://192.168.3.211:4022/rtp/238.1.78.185:7352
颍上新闻,http://192.168.3.211:4022/rtp/238.1.78.194:7424
全椒综合,http://192.168.3.211:4022/rtp/238.1.78.203:7496
来安电视台,http://192.168.3.211:4022/rtp/238.1.78.204:7504
定远综合,http://192.168.3.211:4022/rtp/238.1.78.205:7512
凤阳新闻,http://192.168.3.211:4022/rtp/238.1.78.207:7528
明光新闻,http://192.168.3.211:4022/rtp/238.1.78.208:7536
石台新闻,http://192.168.3.211:4022/rtp/238.1.78.221:7640
东至新闻,http://192.168.3.211:4022/rtp/238.1.79.13:4216
安徽经视,http://192.168.3.211:4022/rtp/238.1.78.55:6312
安徽影视,http://192.168.3.211:4022/rtp/238.1.78.56:6320
安徽公共,http://192.168.3.211:4022/rtp/238.1.78.57:6328
安徽综艺,http://192.168.3.211:4022/rtp/238.1.78.58:6336
安徽科教,http://192.168.3.211:4022/rtp/238.1.78.59:6344
安徽人物,http://192.168.3.211:4022/rtp/238.1.78.60:6352

数字频道,#genre#
爱上4K,http://192.168.3.211:4022/rtp/238.1.78.23:6112
全纪实,http://192.168.3.211:4022/rtp/238.1.78.83:6536
动漫秀场,http://192.168.3.211:4022/rtp/238.1.78.79:6504
海豚健康,http://192.168.3.211:4022/rtp/238.1.79.33:4376
海豚少儿,http://192.168.3.211:4022/rtp/238.1.79.32:4368
海豚影视,http://192.168.3.211:4022/rtp/238.1.79.34:4384
纪实人文,http://192.168.3.211:4022/rtp/238.1.78.96:6640
山东教育,http://192.168.3.211:4022/rtp/238.1.78.254:7904
生活时尚,http://192.168.3.211:4022/rtp/238.1.78.78:6496
体育赛事,http://192.168.3.211:4022/rtp/238.1.78.33:6192
足球频道,http://192.168.3.211:4022/rtp/238.1.78.250:7872
直播室201,http://192.168.3.211:4022/rtp/238.1.78.226:7680
直播室202,http://192.168.3.211:4022/rtp/238.1.78.227:7688
